,name,bean1GridX,bean1GridY,bean2GridX,bean2GridY,playerGridX,playerGridY,reactionTime,trajectory,aimAction,noisePoint,goal,noiseNumber,bottom,height,direction
0,model7,4,13,10,13,7,5,"[1490, 1491, 1493, 1494, 1496, 1498, 1500, 1502, 1504, 1506, 1507]","[(7, 5), [7, 6], [7, 7], [7, 8], [7, 9], [7, 10], [7, 11], [7, 12], [8, 12], [9, 12], [9, 13], [10, 13]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (1, 0), (0, 1), (1, 0)]",[],"[0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 2]",0,6,8,180
1,model7,4,7,10,7,7,1,"[1306, 1308, 1314, 1320, 1327, 1333, 1339, 1342, 1346, 1348, 1351]","[(7, 1), [7, 2], [8, 2], [8, 3], [8, 4], [8, 5], [8, 6], [8, 5], [8, 6], [9, 6], [9, 7], [10, 7]]","[(0, 1), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, -1), (0, 1), (1, 0), (0, 1), (1, 0)]","[2, 7]","[0, 0, 0, 0, 0, 0, 2, 0, 2, 0, 2]",2,6,6,180
2,model7,5,0,9,0,7,7,"[1306, 1308, 1309, 1311, 1312, 1314, 1316, 1318, 1320, 1321]","[(7, 7), [7, 6], [7, 5], [7, 4], [7, 3], [7, 2], [7, 1], [7, 0], [6, 0], [6, 0], [5, 0]]","[(0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (-1, 0), (0, -1), (-1, 0)]",[9],"[0, 0, 0, 0, 0, 0, 0, 1, 1, 1]",1,4,7,0
3,model7,13,4,13,10,6,7,"[1312, 1318, 1324, 1328, 1333, 1339, 1343, 1349, 1354, 1360]","[(6, 7), [7, 7], [8, 7], [8, 6], [9, 6], [10, 6], [11, 6], [12, 6], [12, 5], [13, 5], [13, 4]]","[(1, 0), (1, 0), (0, -1), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (1, 0), (0, -1)]",[3],"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1]",1,6,7,90
4,model7,1,5,1,9,9,7,"[1313, 1316, 1317, 1319, 1322, 1324, 1328, 1330, 1333, 1334]","[(9, 7), [8, 7], [8, 6], [7, 6], [6, 6], [5, 6], [4, 6], [3, 6], [2, 6], [1, 6], [1, 5]]","[(-1, 0), (0, -1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1)]",[2],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",1,4,8,270
5,model7,3,7,11,7,7,14,"[1309, 1312, 1315, 1319, 1322, 1326, 1329, 1333, 1336, 1339, 1342]","[(7, 14), [7, 13], [7, 12], [7, 11], [7, 10], [7, 9], [7, 8], [6, 8], [5, 8], [4, 8], [3, 8], [3, 7]]","[(0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1)]",[7],"[0, 0, 0, 0, 0, 0, 2, 1, 1, 1, 0]",1,8,7,0
6,model7,6,3,6,11,14,7,"[1309, 1314, 1316, 1319, 1321, 1323, 1325, 1327, 1329, 1331, 1333, 1335]","[(14, 7), [13, 7], [12, 7], [11, 7], [10, 7], [9, 7], [8, 7], [8, 6], [8, 5], [7, 5], [7, 4], [7, 3], [6, 3]]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (0, -1), (-1, 0), (0, -1), (0, -1), (-1, 0)]",[7],"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0]",1,8,8,270
7,model7,5,5,5,9,11,7,"[1309, 1311, 1314, 1317, 1319, 1322, 1324, 1326]","[(11, 7), [10, 7], [9, 7], [8, 7], [7, 7], [6, 7], [5, 7], [5, 6], [5, 5]]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (0, -1)]",[],"[0, 0, 0, 0, 0, 0, 1, 1]",0,4,6,270
8,model7,13,3,13,11,7,7,"[1309, 1311, 1313, 1315, 1318, 1320, 1322, 1329, 1330, 1332, 1334, 1336]","[(7, 7), [8, 7], [9, 7], [10, 7], [10, 6], [11, 6], [11, 5], [12, 5], [12, 6], [12, 5], [12, 4], [13, 4], [13, 3]]","[(1, 0), (1, 0), (1, 0), (0, -1), (1, 0), (0, -1), (1, 0), (0, 1), (0, -1), (0, -1), (1, 0), (0, -1)]","[4, 8]","[0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1]",2,8,6,90
9,model7,5,14,9,14,7,7,"[1308, 1310, 1312, 1313, 1315, 1316, 1318, 1320, 1322]","[(7, 7), [7, 8], [7, 9], [7, 10], [7, 11], [7, 12], [7, 13], [7, 14], [8, 14], [9, 14]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (-1, 0), (1, 0)]",[8],"[0, 0, 0, 0, 0, 0, 0, 1, 2]",special,4,7,180
