,pacmanPositionX,pacmanPositionY,bean1PositionX,bean1PositionY,bean2PositionX,bean2PositionY,bottom,height,direction
138,7,12,4,5,10,5,6,7,0
139,7,13,4,6,10,6,6,7,0
140,7,14,4,7,10,7,6,7,0
141,0,7,7,4,7,10,6,7,90
142,1,7,8,4,8,10,6,7,90
143,2,7,9,4,9,10,6,7,90
144,3,7,10,4,10,10,6,7,90
145,4,7,11,4,11,10,6,7,90
146,5,7,12,4,12,10,6,7,90
147,6,7,13,4,13,10,6,7,90
148,7,7,14,4,14,10,6,7,90
149,7,0,4,7,10,7,6,7,180
150,7,1,4,8,10,8,6,7,180
151,7,2,4,9,10,9,6,7,180
152,7,3,4,10,10,10,6,7,180
153,7,4,4,11,10,11,6,7,180
154,7,5,4,12,10,12,6,7,180
155,7,6,4,13,10,13,6,7,180
156,7,7,4,14,10,14,6,7,180
157,7,7,0,4,0,10,6,7,270
158,8,7,1,4,1,10,6,7,270
159,9,7,2,4,2,10,6,7,270
160,10,7,3,4,3,10,6,7,270
161,11,7,4,4,4,10,6,7,270
162,12,7,5,4,5,10,6,7,270
163,13,7,6,4,6,10,6,7,270
164,14,7,7,4,7,10,6,7,270
165,7,8,4,0,10,0,6,8,0
166,7,9,4,1,10,1,6,8,0
167,7,10,4,2,10,2,6,8,0
168,7,11,4,3,10,3,6,8,0
169,7,12,4,4,10,4,6,8,0
170,7,13,4,5,10,5,6,8,0
171,7,14,4,6,10,6,6,8,0
172,0,7,8,4,8,10,6,8,90
173,1,7,9,4,9,10,6,8,90
174,2,7,10,4,10,10,6,8,90
175,3,7,11,4,11,10,6,8,90
176,4,7,12,4,12,10,6,8,90
177,5,7,13,4,13,10,6,8,90
178,6,7,14,4,14,10,6,8,90
179,7,0,4,8,10,8,6,8,180
180,7,1,4,9,10,9,6,8,180
181,7,2,4,10,10,10,6,8,180
182,7,3,4,11,10,11,6,8,180
183,7,4,4,12,10,12,6,8,180
184,7,5,4,13,10,13,6,8,180
185,7,6,4,14,10,14,6,8,180
186,8,7,0,4,0,10,6,8,270
187,9,7,1,4,1,10,6,8,270
188,10,7,2,4,2,10,6,8,270
189,11,7,3,4,3,10,6,8,270
190,12,7,4,4,4,10,6,8,270
191,13,7,5,4,5,10,6,8,270
192,14,7,6,4,6,10,6,8,270
193,7,6,3,0,11,0,8,6,0
194,7,7,3,1,11,1,8,6,0
195,7,8,3,2,11,2,8,6,0
196,7,9,3,3,11,3,8,6,0
197,7,10,3,4,11,4,8,6,0
198,7,11,3,5,11,5,8,6,0
199,7,12,3,6,11,6,8,6,0
200,7,13,3,7,11,7,8,6,0
201,7,14,3,8,11,8,8,6,0
202,0,7,6,3,6,11,8,6,90
203,1,7,7,3,7,11,8,6,90
204,2,7,8,3,8,11,8,6,90
205,3,7,9,3,9,11,8,6,90
206,4,7,10,3,10,11,8,6,90
207,5,7,11,3,11,11,8,6,90
208,6,7,12,3,12,11,8,6,90
209,7,7,13,3,13,11,8,6,90
210,8,7,14,3,14,11,8,6,90
211,7,0,3,6,11,6,8,6,180
212,7,1,3,7,11,7,8,6,180
213,7,2,3,8,11,8,8,6,180
214,7,3,3,9,11,9,8,6,180
215,7,4,3,10,11,10,8,6,180
216,7,5,3,11,11,11,8,6,180
217,7,6,3,12,11,12,8,6,180
218,7,7,3,13,11,13,8,6,180
219,7,8,3,14,11,14,8,6,180
220,6,7,0,3,0,11,8,6,270
221,7,7,1,3,1,11,8,6,270
222,8,7,2,3,2,11,8,6,270
223,9,7,3,3,3,11,8,6,270
224,10,7,4,3,4,11,8,6,270
225,11,7,5,3,5,11,8,6,270
226,12,7,6,3,6,11,8,6,270
227,13,7,7,3,7,11,8,6,270
228,14,7,8,3,8,11,8,6,270
229,7,7,3,0,11,0,8,7,0
230,7,8,3,1,11,1,8,7,0
231,7,9,3,2,11,2,8,7,0
232,7,10,3,3,11,3,8,7,0
233,7,11,3,4,11,4,8,7,0
234,7,12,3,5,11,5,8,7,0
235,7,13,3,6,11,6,8,7,0
236,7,14,3,7,11,7,8,7,0
237,0,7,7,3,7,11,8,7,90
238,1,7,8,3,8,11,8,7,90
239,2,7,9,3,9,11,8,7,90
240,3,7,10,3,10,11,8,7,90
241,4,7,11,3,11,11,8,7,90
242,5,7,12,3,12,11,8,7,90
243,6,7,13,3,13,11,8,7,90
244,7,7,14,3,14,11,8,7,90
245,7,0,3,7,11,7,8,7,180
246,7,1,3,8,11,8,8,7,180
247,7,2,3,9,11,9,8,7,180
248,7,3,3,10,11,10,8,7,180
249,7,4,3,11,11,11,8,7,180
250,7,5,3,12,11,12,8,7,180
251,7,6,3,13,11,13,8,7,180
252,7,7,3,14,11,14,8,7,180
253,7,7,0,3,0,11,8,7,270
254,8,7,1,3,1,11,8,7,270
255,9,7,2,3,2,11,8,7,270
256,10,7,3,3,3,11,8,7,270
257,11,7,4,3,4,11,8,7,270
258,12,7,5,3,5,11,8,7,270
259,13,7,6,3,6,11,8,7,270
260,14,7,7,3,7,11,8,7,270
261,7,8,3,0,11,0,8,8,0
262,7,9,3,1,11,1,8,8,0
263,7,10,3,2,11,2,8,8,0
264,7,11,3,3,11,3,8,8,0
265,7,12,3,4,11,4,8,8,0
266,7,13,3,5,11,5,8,8,0
267,7,14,3,6,11,6,8,8,0
268,0,7,8,3,8,11,8,8,90
269,1,7,9,3,9,11,8,8,90
270,2,7,10,3,10,11,8,8,90
271,3,7,11,3,11,11,8,8,90
272,4,7,12,3,12,11,8,8,90
273,5,7,13,3,13,11,8,8,90
274,6,7,14,3,14,11,8,8,90
275,7,0,3,8,11,8,8,8,180
